master_version	rule_id	brand_id	category_id	db_ready	scoring_formula_version	メルカリ検索URL1	メルカリ検索URL2	メルカリ検索URL3	カテゴリ	性別	ブランド	ブランド日本語	服種類	商品名・狙い目	季節	季節ピーク	想定販売期間	素材加点	素材タグ	サイズ加点	サイズタグ	仕入れ上限	仕入れ上限_min	仕入れ上限_max	想定販売価格	想定販売価格_min	想定販売価格_max	粗利目安	粗利_min	粗利_max	想定送料_min	想定送料_max	配送サイズ	送料注意度	優先度	ブランドスコア	ジャンルスコア	素材スコア	サイズスコア	回転見込み	回転スコア	利益見込み	偽物リスク	真贋リスクスコア	劣化リスク	状態リスクスコア	相場信頼度	総合スコア_初期	推奨判定_初期	データ信頼度	強い条件	強みタグ	需要タグ	避ける条件	状態NGタグ	リスクタグ	検索キーワード	最低確認相場数	写真必須箇所	現場アクション	AI判定メモ	アプリ入力必須項目	即見送り条件	例外条件	AI追加質問	メルカリ検索式1	メルカリ検索式2	メルカリ検索式3	撮影指示詳細	購入制御ルール
v4	RULE_0001	BRD_0001	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%82%B3%E3%83%BC%E3%83%81%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=COACH%20%E3%82%BD%E3%83%BC%E3%83%9B%E3%83%BC	https://jp.mercari.com/search?keyword=%E3%82%B3%E3%83%BC%E3%83%81%20%E3%82%BD%E3%83%BC%E3%83%9B%E3%83%BC	バッグ・小物	ユニセックス	COACH	コーチ	バッグ	ソーホー／シグネチャー／アクセサリーポーチ	通年	通年	1〜3週間	特になし	特になし	標準サイズは相場確認	標準	2500〜4000	2500	4000	8000〜15000	8000	15000	約4700〜9500	3200	11000	210	450	ネコポス/ゆうパケット	低	S	85	75	50	60	早い	80	高	中	-20	高	-35	60	22	見送り	要検証	付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品	ベタつき / 角スレ / 内側劣化 / 穴/破れ / 欠品	真贋注意 / 経年劣化 / 汚れリスク / 送料高 / 相場確認必須	コーチ バッグ	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品	見つけたら即リサーチ	優先確認。利益が出れば仕入れ候補。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	コーチ バッグ	COACH ソーホー	コーチ ソーホー	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	原則見送り
v4	RULE_0002	BRD_0002	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%BC%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=PORTER%20%E3%82%BF%E3%83%B3%E3%82%AB%E3%83%BC	https://jp.mercari.com/search?keyword=%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%BC%20%E3%82%BF%E3%83%B3%E3%82%AB%E3%83%BC	バッグ・小物	ユニセックス	PORTER	ポーター	バッグ	タンカー／リュック／ショルダー／ボストン	通年	通年	1〜3週間	特になし	特になし	標準サイズは相場確認	標準	3000〜6000	3000	6000	9000〜18000	9000	18000	約5100〜10200	2100	13200	210	450	ネコポス/ゆうパケット	低	S	85	85	50	60	早い	80	高	中	-20	高	-35	60	23	見送り	要検証	付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品	ベタつき / 内側劣化 / 穴/破れ / 臭い / 欠品	真贋注意 / 経年劣化 / 送料高 / 相場確認必須	ポーター バッグ リュック	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品	見つけたら即リサーチ	優先確認。利益が出れば仕入れ候補。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	ポーター バッグ	PORTER タンカー	ポーター タンカー	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	原則見送り
v4	RULE_0003	BRD_0003	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%83%98%E3%83%83%E3%83%89%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%BC%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=HEAD%20PORTER%20%E9%99%90%E5%AE%9A%E8%89%B2	https://jp.mercari.com/search?keyword=%E3%83%98%E3%83%83%E3%83%89%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%BC%20%E9%99%90%E5%AE%9A%E8%89%B2	バッグ・小物	ユニセックス	HEAD PORTER	ヘッドポーター	バッグ	限定色／アイアンブルー／タンカー系	通年	通年	2〜6週間	特になし	特になし	標準サイズは相場確認	標準	4000〜7000	4000	7000	12000〜20000	12000	20000	約6800〜11000	3800	14000	210	450	ネコポス/ゆうパケット	低	A	70	85	50	60	普通	60	高	中	-20	高	-35	50	15	見送り	要検証	付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品	ベタつき / 内側劣化 / 穴/破れ / 欠品	真贋注意 / 経年劣化 / 送料高 / 相場確認必須	ヘッドポーター バッグ	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品	条件が合えばリサーチ	条件一致時のみ仕入れ候補。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	ヘッドポーター バッグ	HEAD PORTER 限定色	ヘッドポーター 限定色	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	原則見送り
v4	RULE_0004	BRD_0004	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%82%A2%E3%83%B3%E3%83%86%E3%83%97%E3%83%AA%E3%83%9E%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=ANTEPRIMA%20%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=%E3%82%A2%E3%83%B3%E3%83%86%E3%83%97%E3%83%AA%E3%83%9E%20%E3%83%AF%E3%82%A4%E3%83%A4%E3%83%BC%E3%83%90%E3%83%83%E3%82%B0	バッグ・小物	レディース寄り	ANTEPRIMA	アンテプリマ	バッグ	ワイヤーバッグ／グリッター／ラウンド型	通年	通年	1〜3週間	特になし	特になし	標準サイズは相場確認	標準	5000〜10000	5000	10000	18000〜40000	18000	40000	約11200〜26000	6200	31000	210	450	ネコポス/ゆうパケット	低	S	85	75	50	60	早い	80	高	中	-20	高	-35	60	22	見送り	要検証	付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品	ベタつき / 内側劣化 / 穴/破れ / 欠品	真贋注意 / 経年劣化 / 送料高 / 相場確認必須	アンテプリマ バッグ	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品	見つけたら即リサーチ	優先確認。利益が出れば仕入れ候補。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	アンテプリマ バッグ	ANTEPRIMA ワイヤーバッグ	アンテプリマ ワイヤーバッグ	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	原則見送り
v4	RULE_0005	BRD_0005	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%82%A2%E3%82%BF%E3%82%AA%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=ATAO%20%E3%81%8A%E8%B2%A1%E5%B8%83%E3%83%9D%E3%82%B7%E3%82%A7%E3%83%83%E3%83%88	https://jp.mercari.com/search?keyword=%E3%82%A2%E3%82%BF%E3%82%AA%20%E3%81%8A%E8%B2%A1%E5%B8%83%E3%83%9D%E3%82%B7%E3%82%A7%E3%83%83%E3%83%88	バッグ・小物	レディース寄り	ATAO	アタオ	バッグ	お財布ポシェット／ブーブー／長財布	通年	通年	1〜3週間	特になし	特になし	標準サイズは相場確認	標準	4000〜8000	4000	8000	12000〜22000	12000	22000	約6800〜11800	2800	15800	210	450	ネコポス/ゆうパケット	低	S	85	75	50	60	早い	80	高	中	-20	高	-35	60	22	見送り	要検証	付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品	ベタつき / 角スレ / 内側劣化 / 穴/破れ / 欠品	真贋注意 / 経年劣化 / 汚れリスク / 送料高 / 相場確認必須	アタオ バッグ	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品	見つけたら即リサーチ	優先確認。利益が出れば仕入れ候補。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	アタオ バッグ	ATAO お財布ポシェット	アタオ お財布ポシェット	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	原則見送り
v4	RULE_0006	BRD_0006	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%82%B0%E3%83%83%E3%83%81%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=GUCCI%20GG%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%90%E3%82%B9	https://jp.mercari.com/search?keyword=%E3%82%B0%E3%83%83%E3%83%81%20GG%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%90%E3%82%B9	バッグ・小物	ユニセックス	GUCCI	グッチ	バッグ	GGキャンバス／ショルダー／ポーチ	通年	通年	2〜6週間	特になし	特になし	標準サイズは相場確認	標準	8000〜15000	8000	15000	22000〜45000	22000	45000	約11800〜25500	4800	32500	210	450	ネコポス/ゆうパケット	低	A	70	75	50	60	普通	60	高	高	-40	高	-35	50	0	見送り	要検証	付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品 / 真贋不明	ベタつき / 内側劣化 / 穴/破れ / 欠品 / 真贋不明	真贋注意 / 経年劣化 / 送料高 / 相場確認必須	グッチ バッグ	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品 / 真贋判断用タグ/刻印	条件が合えばリサーチ	条件一致時のみ仕入れ候補。 真贋・タグ確認を必須にする。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	グッチ バッグ	GUCCI GGキャンバス	グッチ GGキャンバス	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	真贋確認できるまで購入不可
v4	RULE_0007	BRD_0007	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%83%97%E3%83%A9%E3%83%80%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=PRADA%20%E3%83%8A%E3%82%A4%E3%83%AD%E3%83%B3%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=%E3%83%97%E3%83%A9%E3%83%80%20%E3%83%8A%E3%82%A4%E3%83%AD%E3%83%B3%E3%83%90%E3%83%83%E3%82%B0	バッグ・小物	ユニセックス	PRADA	プラダ	バッグ	ナイロンバッグ／ポーチ／リュック	通年	通年	2〜6週間	ナイロン高需要	ナイロン	標準サイズは相場確認	標準	6000〜12000	6000	12000	18000〜35000	18000	35000	約10200〜19500	4200	25500	210	450	ネコポス/ゆうパケット	低	A	70	75	65	60	普通	60	高	高	-40	高	-35	50	0	見送り	要検証	ナイロン高需要 / 付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品 / 真贋不明	ベタつき / 内側劣化 / 穴/破れ / 欠品 / 真贋不明	真贋注意 / 経年劣化 / 送料高 / 相場確認必須	プラダ バッグ リュック	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品 / 真贋判断用タグ/刻印	条件が合えばリサーチ	条件一致時のみ仕入れ候補。 真贋・タグ確認を必須にする。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	プラダ バッグ	PRADA ナイロンバッグ	プラダ ナイロンバッグ	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	真贋確認できるまで購入不可
v4	RULE_0008	BRD_0008	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%83%9F%E3%83%A5%E3%82%A6%E3%83%9F%E3%83%A5%E3%82%A6%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=Miu%20Miu%20%E3%83%9E%E3%83%86%E3%83%A9%E3%83%83%E3%82%BB	https://jp.mercari.com/search?keyword=%E3%83%9F%E3%83%A5%E3%82%A6%E3%83%9F%E3%83%A5%E3%82%A6%20%E3%83%9E%E3%83%86%E3%83%A9%E3%83%83%E3%82%BB	バッグ・小物	レディース寄り	Miu Miu	ミュウミュウ	バッグ	マテラッセ／ショルダー／財布	通年	通年	2〜6週間	特になし	特になし	標準サイズは相場確認	標準	6000〜15000	6000	15000	18000〜40000	18000	40000	約10200〜21000	1200	30000	210	450	ネコポス/ゆうパケット	低	A	70	75	50	60	普通	60	高	高	-40	高	-35	50	0	見送り	要検証	付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品 / 真贋不明	ベタつき / 角スレ / 内側劣化 / 穴/破れ / 欠品 / 真贋不明	真贋注意 / 経年劣化 / 送料高 / 相場確認必須	ミュウミュウ バッグ	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品 / 真贋判断用タグ/刻印	条件が合えばリサーチ	条件一致時のみ仕入れ候補。 真贋・タグ確認を必須にする。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	ミュウミュウ バッグ	Miu Miu マテラッセ	ミュウミュウ マテラッセ	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	真贋確認できるまで購入不可
v4	RULE_0009	BRD_0009	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%83%95%E3%83%AB%E3%83%A9%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=FURLA%20%E3%83%A1%E3%83%88%E3%83%AD%E3%83%9D%E3%83%AA%E3%82%B9	https://jp.mercari.com/search?keyword=%E3%83%95%E3%83%AB%E3%83%A9%20%E3%83%A1%E3%83%88%E3%83%AD%E3%83%9D%E3%83%AA%E3%82%B9	バッグ・小物	レディース寄り	FURLA	フルラ	バッグ	メトロポリス／パイパー／2WAYバッグ	通年	通年	2〜6週間	特になし	特になし	標準サイズは相場確認	標準	2000〜5000	2000	5000	7000〜14000	7000	14000	約4300〜7600	1300	10600	210	450	ネコポス/ゆうパケット	低	A	70	75	50	60	普通	60	中	中	-20	高	-35	50	7	見送り	要検証	付属品あり/型崩れ少ない	ブランド/状態次第	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品	ベタつき / 内側劣化 / 穴/破れ / 欠品	真贋注意 / 経年劣化 / 送料高 / 相場確認必須	フルラ バッグ	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品	条件が合えばリサーチ	条件一致時のみ仕入れ候補。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	フルラ バッグ	FURLA メトロポリス	フルラ メトロポリス	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	原則見送り
v4	RULE_0010	BRD_0010	CAT_001	TRUE	SCORE_V1	https://jp.mercari.com/search?keyword=%E3%82%B1%E3%82%A4%E3%83%88%E3%82%B9%E3%83%9A%E3%83%BC%E3%83%89%20%E3%83%90%E3%83%83%E3%82%B0	https://jp.mercari.com/search?keyword=kate%20spade%20%E3%82%B7%E3%83%A7%E3%83%AB%E3%83%80%E3%83%BC	https://jp.mercari.com/search?keyword=%E3%82%B1%E3%82%A4%E3%83%88%E3%82%B9%E3%83%9A%E3%83%BC%E3%83%89%20%E3%82%B7%E3%83%A7%E3%83%AB%E3%83%80%E3%83%BC	バッグ・小物	レディース寄り	kate spade	ケイトスペード	バッグ	ショルダー／ハンドバッグ／花柄・リボン系	通年	通年	2〜6週間	特になし	特になし	標準サイズは相場確認	標準	2000〜4500	2000	4500	7000〜13000	7000	13000	約4300〜7200	1800	9700	210	450	ネコポス/ゆうパケット	低	A	70	75	50	60	普通	60	中	中	-20	高	-35	50	7	見送り	要検証	デザイン性 / 付属品あり/型崩れ少ない	デザイン強め	通年需要	ベタつき / 角破れ / 内側劣化 / ショルダー欠品	ベタつき / 内側劣化 / 穴/破れ / 欠品	真贋注意 / 経年劣化 / 汚れリスク / 送料高 / 相場確認必須	ケイトスペード バッグ	3	正面 / 背面 / 角4カ所 / 内側 / ブランドタグ/ロゴ / ショルダー/付属品	条件が合えばリサーチ	条件一致時のみ仕入れ候補。	ブランド / 服種類 / 仕入れ値 / サイズ / 素材タグ写真 / ブランドタグ写真 / 全体写真 / 状態 / メルカリ売切相場 / 角スレ写真 / 内側写真 / 付属品 / 真贋確認情報	内側ベタつき / 粉吹き / 合皮剥がれ / 強い臭い / ファスナー不良 / ショルダー欠品※2WAY/斜め掛け前提品 / 真贋不明 / 内タグ/シリアル/品質タグ欠損	高単価ブランドで補修・清掃後も粗利が十分ある場合のみ再検討 / 鑑定済み・正規タグ確認・購入元信頼性ありの場合のみ	角スレ、内側ベタつき、臭い、ファスナー不良、ショルダー/付属品欠品はありますか？	ケイトスペード バッグ	kate spade ショルダー	ケイトスペード ショルダー	正面 / 背面 / 底角4カ所 / 持ち手 / 内側 / ロゴ / 金具 / ファスナー / 付属品	原則見送り
