master_version	rule_id	brand_id	category_id	db_ready	scoring_formula_version	メルカリ検索URL1	メルカリ検索URL2	メルカリ検索URL3	カテゴリ	性別	ブランド	ブランド日本語	服種類	商品名・狙い目	季節	季節ピーク	想定販売期間	素材加点	素材タグ	サイズ加点	サイズタグ	仕入れ上限	仕入れ上限_min	仕入れ上限_max	想定販売価格	想定販売価格_min	想定販売価格_max	粗利目安	粗利_min	粗利_max	想定送料_min	想定送料_max	配送サイズ	送料注意度	優先度	ブランドスコア	ジャンルスコア	素材スコア	サイズスコア	回転見込み	回転スコア	利益見込み	偽物リスク	真贋リスクスコア	劣化リスク	状態リスクスコア	相場信頼度	総合スコア_初期	推奨判定_初期	データ信頼度	強い条件	強みタグ	需要タグ	避ける条件	状態NGタグ	リスクタグ	検索キーワード	最低確認相場数	写真必須箇所	現場アクション	AI判定メモ	アプリ入力必須項目	即見送り条件	例外条件	AI追加質問	メルカリ検索式1	メルカリ検索式2	メルカリ検索式3	撮影指示詳細	購入制御ルール
v5_maxmara_additions	RULE_MAXMARA_001	BRD_MAX_MARA	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=Max%20Mara%20%E3%82%B3%E3%83%BC%E3%83%88%20%E3%82%AB%E3%82%B7%E3%83%9F%E3%83%A4	https://jp.mercari.com/search?keyword=Max%20Mara%20%E7%99%BD%E3%82%BF%E3%82%B0%20%E3%82%B3%E3%83%BC%E3%83%88	https://jp.mercari.com/search?keyword=%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%A9%20%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9	レディース服	レディース	Max Mara	マックスマーラ	コート／ワンピース／ジャケット	白タグコート／カシミヤ混コート／ウールコート／ワンピース／ジャケット	秋冬中心	9〜12月/1〜2月	2〜8週間	カシミヤ/ウール/アルパカ/シルク	カシミヤ,ウール,アルパカ,シルク	38/40/42/大きいサイズ	38,40,42,大きいサイズ	5000〜25000	5000	25000	18000〜80000	18000	80000	約-10000〜66250	-10000	66250	750	1200	宅急便60〜100	高	S	92	88	90	78	普通	70	高	中	25	中	25	85	80	買い	中〜高	白タグ/カシミヤ混/アルパカ混/ベルト付き/大きいサイズ/美品/現行感	白タグ,カシミヤ,アルパカ,ベルト付き,大きいサイズ,美品	高級コート,通勤,フォーマル,秋冬,大人女性	虫食い/襟汚れ/袖口汚れ/ベルト欠品/古すぎる肩パッド/裏地破れ	虫食い,襟汚れ,袖口汚れ,裏地破れ,臭い	真贋注意,虫食い注意,送料高め,季節性	Max Mara コート カシミヤ,Max Mara 白タグ コート,マックスマーラ ワンピース	3	正面/背面/ブランドタグ/素材タグ/襟袖/ベルト/ダメージ箇所	白タグと素材タグを確認し、虫食い・襟袖汚れ・ベルト有無を見てから相場検索	Max Mara本体はコートが最優先。高仕入れでも素材と状態が良ければ利益幅が大きい。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	虫食い大/脇汗大/強い臭い/裏地破れ大/真贋不明で高仕入れ	超高単価相場が3件以上あり、リペア可能かつ仕入れが十分安い場合のみ検討	虫食い・襟袖汚れ・脇汗・ベルト欠品・素材タグの有無を確認しましたか？	Max Mara コート カシミヤ	Max Mara 白タグ コート	マックスマーラ ワンピース	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、襟袖、脇、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_maxmara_additions	RULE_MAXMARA_002	BRD_S_MAX_MARA	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=S%20Max%20Mara%20%E3%82%B3%E3%83%BC%E3%83%88	https://jp.mercari.com/search?keyword=S%20Max%20Mara%20%E3%83%80%E3%82%A6%E3%83%B3	https://jp.mercari.com/search?keyword=%E3%82%A8%E3%82%B9%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%A9%20%E3%83%AA%E3%83%90%E3%83%BC%E3%82%B3%E3%83%BC%E3%83%88	レディース服	レディース	S Max Mara	エス マックスマーラ	コート／ダウン／ワンピース	リバーコート／ダウンコート／ウールコート／ワンピース	秋冬中心	9〜12月/1〜2月	2〜8週間	ウール/カシミヤ/ダウン/アルパカ	ウール,カシミヤ,ダウン,アルパカ	38/40/42/大きいサイズ	38,40,42,大きいサイズ	5000〜20000	5000	20000	18000〜70000	18000	70000	約-5000〜57250	-5000	57250	750	1200	宅急便60〜100	高	S	90	88	88	78	普通	70	高	中	25	中	25	80	80	買い	中〜高	リバーコート/ダウン/ベルト付き/フード付き/大きいサイズ/美品	リバーコート,ダウン,ベルト付き,フード付き,大きいサイズ,美品	高級コート,秋冬,通勤,大人女性	ダウン抜け/虫食い/襟袖汚れ/ベルト欠品/フード欠品/ファスナー不良	ダウン抜け,虫食い,襟汚れ,袖口汚れ,ファスナー不良	真贋注意,虫食い注意,送料高め,季節性	S Max Mara コート,S Max Mara ダウン,エスマックスマーラ リバーコート	3	正面/背面/ブランドタグ/素材タグ/襟袖/ベルト/フード/ダメージ箇所	付属品と素材を確認。ダウンやリバーコートは高値だが状態チェックを厳しめにする	S Max MaraはMax Mara系列でも高単価。コート系ならSランクで確認。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	虫食い大/脇汗大/強い臭い/裏地破れ大/真贋不明で高仕入れ	超高単価相場が3件以上あり、リペア可能かつ仕入れが十分安い場合のみ検討	虫食い・襟袖汚れ・脇汗・ベルト欠品・素材タグの有無を確認しましたか？	S Max Mara コート	S Max Mara ダウン	エスマックスマーラ リバーコート	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、襟袖、脇、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_maxmara_additions	RULE_MAXMARA_003	BRD_MAX_MARA_STUDIO	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=Max%20Mara%20Studio%20%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9	https://jp.mercari.com/search?keyword=Max%20Mara%20Studio%20%E3%82%B3%E3%83%BC%E3%83%88	https://jp.mercari.com/search?keyword=%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%A9%20%E3%82%B9%E3%83%86%E3%83%A5%E3%83%87%E3%82%A3%E3%82%AA	レディース服	レディース	Max Mara Studio	マックスマーラ ステュディオ	ワンピース／コート／ジャケット	ワンピース／ウールコート／ジャケット／スーツ	通年	3〜5月/9〜12月	2〜6週間	ウール/シルク/リネン/コットン	ウール,シルク,リネン,コットン	38/40/42/大きいサイズ	38,40,42,大きいサイズ	3000〜12000	3000	12000	10000〜35000	10000	35000	約-4050〜28270	-4050	28270	230	1050	ゆうパケット〜宅急便80	中〜高	A	78	74	78	75	普通	65	中〜高	低〜中	15	中	20	70	67	条件付き買い	中〜高	ワンピース/ウールコート/美品/大きいサイズ/上質素材	ワンピース,ウール,シルク,大きいサイズ,美品	通勤,フォーマル,大人女性,秋冬	古いデザイン/シミ/脇汗/虫食い/裏地破れ	シミ,脇汗,虫食い,裏地破れ	状態注意,送料注意	Max Mara Studio ワンピース,Max Mara Studio コート,マックスマーラ ステュディオ	3	正面/背面/ブランドタグ/素材タグ/脇/襟袖/ダメージ箇所	Max Mara本体より単価は落ちるため、仕入れ上限と売り切れ相場を必ず確認	Max Mara StudioはAランク。ワンピース・コート・大きいサイズなら仕入れ候補。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	虫食い大/脇汗大/強い臭い/裏地破れ大/真贋不明で高仕入れ	超高単価相場が3件以上あり、リペア可能かつ仕入れが十分安い場合のみ検討	虫食い・襟袖汚れ・脇汗・ベルト欠品・素材タグの有無を確認しましたか？	Max Mara Studio ワンピース	Max Mara Studio コート	マックスマーラ ステュディオ	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、襟袖、脇、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_maxmara_additions	RULE_MAXMARA_004	BRD_WEEKEND_MAX_MARA	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=Weekend%20Max%20Mara%20%E3%82%B3%E3%83%BC%E3%83%88	https://jp.mercari.com/search?keyword=Weekend%20Max%20Mara%20%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9	https://jp.mercari.com/search?keyword=%E3%82%A6%E3%82%A3%E3%83%BC%E3%82%AF%E3%82%A8%E3%83%B3%E3%83%89%20%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%A9	レディース服	レディース	Weekend Max Mara	ウィークエンド マックスマーラ	コート／ワンピース／ニット／ジャケット	コート／ワンピース／ニット／ジャケット／カジュアルライン	通年	3〜5月/9〜12月	2〜6週間	ウール/リネン/コットン/ダウン	ウール,リネン,コットン,ダウン	38/40/42/大きいサイズ	38,40,42,大きいサイズ	2000〜10000	2000	10000	8000〜30000	8000	30000	約-3850〜24770	-3850	24770	230	1050	ゆうパケット〜宅急便80	中〜高	A	74	72	75	75	普通	65	中	低	10	中	20	70	66	条件付き買い	中〜高	コート/ワンピース/大きいサイズ/美品/ウール/リネン	コート,ワンピース,大きいサイズ,ウール,リネン,美品	通勤,カジュアル,大人女性,秋冬,春夏	使用感強い/毛玉/虫食い/シミ/古いデザイン	毛玉,虫食い,シミ,襟汚れ,袖口汚れ	状態注意,送料注意,ライン差注意	Weekend Max Mara コート,Weekend Max Mara ワンピース,ウィークエンド マックスマーラ	3	正面/背面/ブランドタグ/素材タグ/襟袖/脇/ダメージ箇所	カジュアルラインなので安仕入れ優先。コート・ワンピース・大きいサイズは相場検索	Weekend Max MaraはAランクだが本体より安め。仕入れ値を抑えれば十分利益候補。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	虫食い大/脇汗大/強い臭い/裏地破れ大/真贋不明で高仕入れ	超高単価相場が3件以上あり、リペア可能かつ仕入れが十分安い場合のみ検討	虫食い・襟袖汚れ・脇汗・ベルト欠品・素材タグの有無を確認しましたか？	Weekend Max Mara コート	Weekend Max Mara ワンピース	ウィークエンド マックスマーラ	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、襟袖、脇、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_maxmara_additions	RULE_MAXMARA_005	BRD_SPORTMAX	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=Sportmax%20%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9	https://jp.mercari.com/search?keyword=Sportmax%20%E3%82%B3%E3%83%BC%E3%83%88	https://jp.mercari.com/search?keyword=%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%20%E3%82%B8%E3%83%A3%E3%82%B1%E3%83%83%E3%83%88	レディース服	レディース	Sportmax	スポーツマックス	ワンピース／ジャケット／コート／パンツ	デザインワンピース／ジャケット／コート／パンツ	通年	3〜5月/9〜12月	3〜8週間	ウール/シルク/コットン/レーヨン	ウール,シルク,コットン,レーヨン	38/40/42	38,40,42	3000〜12000	3000	12000	10000〜40000	10000	40000	約-4050〜32770	-4050	32770	230	1050	ゆうパケット〜宅急便80	中〜高	A	76	76	76	68	普通〜遅い	58	中〜高	低〜中	15	中	20	65	64	条件付き買い	中〜高	デザイン性/美品/現行感/ワンピース/ジャケット/コート	デザイン性,現行感,ワンピース,ジャケット,コート,美品	モード,大人女性,通勤,フォーマル	デザイン古い/サイズ小さい/シミ/脇汗/虫食い	シミ,脇汗,虫食い,サイズ小さすぎ	回転遅め,状態注意,デザイン差	Sportmax ワンピース,Sportmax コート,スポーツマックス ジャケット	3	正面/背面/ブランドタグ/素材タグ/脇/襟袖/デザイン部分	デザイン性が高いものだけ相場検索。普通のアイテムは高仕入れしない	Sportmaxはデザインで価格差が出る。強いデザイン・美品ならAランク。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	虫食い大/脇汗大/強い臭い/裏地破れ大/真贋不明で高仕入れ	超高単価相場が3件以上あり、リペア可能かつ仕入れが十分安い場合のみ検討	虫食い・襟袖汚れ・脇汗・ベルト欠品・素材タグの有無を確認しましたか？	Sportmax ワンピース	Sportmax コート	スポーツマックス ジャケット	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、襟袖、脇、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_maxmara_additions	RULE_MAXMARA_006	BRD_MAXANDCO	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=Max%26Co.%20%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9	https://jp.mercari.com/search?keyword=Max%26Co.%20%E3%82%B3%E3%83%BC%E3%83%88	https://jp.mercari.com/search?keyword=%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%E3%82%A2%E3%83%B3%E3%83%89%E3%82%B3%E3%83%BC	レディース服	レディース	Max&Co.	マックスアンドコー	ワンピース／コート／ジャケット	ワンピース／コート／ジャケット／きれいめ服	通年	3〜5月/9〜12月	3〜8週間	ウール/コットン/ポリエステル/レーヨン	ウール,コットン,ポリエステル,レーヨン	38/40/42	38,40,42	1000〜5000	1000	5000	5000〜15000	5000	15000	約-1550〜12270	-1550	12270	230	1050	ゆうパケット〜宅急便80	中	B	62	62	62	65	普通〜遅い	55	中	低	5	中	20	60	56	慎重	中〜高	ワンピース/コート/美品/大きいサイズ/上品デザイン	ワンピース,コート,美品,大きいサイズ,上品デザイン	通勤,きれいめ,大人女性	普通のトップス/古いデザイン/使用感強い/毛玉/シミ	毛玉,シミ,使用感強い,古いデザイン	単価低め,回転遅め,状態注意	Max&Co. ワンピース,Max&Co. コート,マックスアンドコー	3	正面/背面/ブランドタグ/素材タグ/襟袖/脇/ダメージ箇所	Max Mara系だが単価は低め。1000〜3000円程度の安仕入れ中心で判断	Max&Co.はBランク。Max Mara本体と同じ感覚で高仕入れしない。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	虫食い大/脇汗大/強い臭い/裏地破れ大/真贋不明で高仕入れ	超高単価相場が3件以上あり、リペア可能かつ仕入れが十分安い場合のみ検討	虫食い・襟袖汚れ・脇汗・ベルト欠品・素材タグの有無を確認しましたか？	Max&Co. ワンピース	Max&Co. コート	マックスアンドコー	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、襟袖、脇、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_maxmara_additions	RULE_MAXMARA_007	BRD_PIANOFORTE	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=PIANOFORTE%20%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9	https://jp.mercari.com/search?keyword=%E3%83%94%E3%82%A2%E3%83%8E%E3%83%95%E3%82%A9%E3%83%AB%E3%83%86%20%E3%83%89%E3%83%AC%E3%82%B9	https://jp.mercari.com/search?keyword=PIANOFORTE%20Max%20Mara	レディース服	レディース	PIANOFORTE	ピアノフォルテ	ドレスワンピース／フォーマルワンピース	ドレスワンピース／フォーマルワンピース／マックスマーラ系高級ライン	通年	2〜4月/9〜11月	3〜8週間	シルク/ウール/レーヨン/ポリエステル	シルク,ウール,レーヨン,ポリエステル	38/40/42	38,40,42	3000〜8000	3000	8000	10000〜30000	10000	30000	約250〜23770	250	23770	230	750	ゆうパケット〜宅急便60	中	A	74	78	74	68	普通	62	中〜高	低	8	中	25	60	64	条件付き買い	中〜高	フォーマル/ドレス/シルク/美品/上品デザイン	フォーマル,ドレス,シルク,美品,上品デザイン	オケージョン,フォーマル,大人女性,式典	脇汗/シミ/裏地汚れ/古いデザイン/丈が短すぎる	脇汗,シミ,裏地汚れ,古いデザイン	相場少なめ,状態注意,回転やや遅め	PIANOFORTE ワンピース,ピアノフォルテ ドレス,PIANOFORTE Max Mara	3	正面/背面/ブランドタグ/素材タグ/脇/裏地/ダメージ箇所	フォーマル需要と状態を確認。相場が少ない場合はMax Mara系として類似検索	PIANOFORTEは既存表にも関連行があるが、Max Mara系として独立管理してよい。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	虫食い大/脇汗大/強い臭い/裏地破れ大/真贋不明で高仕入れ	超高単価相場が3件以上あり、リペア可能かつ仕入れが十分安い場合のみ検討	虫食い・襟袖汚れ・脇汗・ベルト欠品・素材タグの有無を確認しましたか？	PIANOFORTE ワンピース	ピアノフォルテ ドレス	PIANOFORTE Max Mara	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、襟袖、脇、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_expanded_additions	RULE_EXP_001	BRD_BLAMINK	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=BLAMINK%20%E3%83%96%E3%83%A9%E3%82%A6%E3%82%B9	https://jp.mercari.com/search?keyword=BLAMINK%20%E3%82%B9%E3%82%AB%E3%83%BC%E3%83%88	https://jp.mercari.com/search?keyword=%E3%83%96%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%AF%20%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9	レディース服	ユニセックス	BLAMINK	ブラミンク	ブラウス／スカート／ワンピース／コート	ブラウス／スカート／ワンピース／コート	通年	通年/秋冬	2〜8週間	シルク/ウール/カシミヤ/上質コットン	シルク,ウール,カシミヤ,コットン	M/L/人気サイズ/大きいサイズ	M,L,人気サイズ,大きいサイズ	5000〜20000	5000	20000	18000〜70000	18000	70000	約-5000〜57250	-5000	57250	750	1200	宅急便60〜100	高	S	92	80	85	75	普通	70	高	中	25	中	25	75	66	条件付き買い	中	Drawer系統/高素材/現行タグ/美品/大きいサイズ	Drawer系統,高素材,現行タグ,美品,大きいサイズ	ブランド指名買い,通年需要,高単価	シミ/黄ばみ/脇汗/虫食い/強い毛羽立ち	シミ,黄ばみ,脇汗,虫食い,強い毛羽立ち	真贋注意,状態注意,相場確認必須	BLAMINK ブラウス,BLAMINK スカート,ブラミンク ワンピース	3	正面/背面/ブランドタグ/素材タグ/サイズ表記/ダメージ箇所	ブランドタグ・素材タグ・状態を確認し、売り切れ相場3件以上を検索	BLAMINKはブラウス／スカート／ワンピース／コートを優先確認。仕入れ上限を超える場合は相場確認必須。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	真贋不明で高仕入れ/強い臭い/大きなシミ/破れ/ベタつき	売り切れ相場3件以上かつリペア可能で仕入れが十分安い場合のみ検討	ブランドタグ・素材タグ・ダメージ・サイズ・付属品の有無を確認しましたか？	BLAMINK ブラウス	BLAMINK スカート	ブラミンク ワンピース	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、脇、襟袖、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_expanded_additions	RULE_EXP_002	BRD_CYCLAS	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=CYCLAS%20%E3%83%96%E3%83%A9%E3%82%A6%E3%82%B9	https://jp.mercari.com/search?keyword=CYCLAS%20%E3%83%AF%E3%83%B3%E3%83%94%E3%83%BC%E3%82%B9	https://jp.mercari.com/search?keyword=%E3%82%B7%E3%82%AF%E3%83%A9%E3%82%B9%20%E3%82%B3%E3%83%BC%E3%83%88	レディース服	ユニセックス	CYCLAS	シクラス	ブラウス／ワンピース／コート	上質ブラウス／ワンピース／コート	通年	通年	2〜8週間	シルク/ウール/上質コットン	シルク,ウール,上質コットン	M/L/人気サイズ/大きいサイズ	M,L,人気サイズ,大きいサイズ	4000〜15000	4000	15000	15000〜50000	15000	50000	約-2700〜40250	-2700	40250	750	1200	宅急便60〜100	高	A	78	70	85	75	普通	70	高	中	25	中	25	75	61	条件付き買い	中	上質素材/美品/現行感/大人きれいめ	上質素材,美品,現行感,大人きれいめ	ブランド指名買い,通年需要,高単価	シミ/黄ばみ/脇汗/強い臭い/破れ/真贋不明	シミ,黄ばみ,脇汗,強い臭い,破れ,真贋不明	真贋注意,状態注意,相場確認必須	CYCLAS ブラウス,CYCLAS ワンピース,シクラス コート	3	正面/背面/ブランドタグ/素材タグ/サイズ表記/ダメージ箇所	ブランドタグ・素材タグ・状態を確認し、売り切れ相場3件以上を検索	CYCLASは上質ブラウス／ワンピース／コートを優先確認。仕入れ上限を超える場合は相場確認必須。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	真贋不明で高仕入れ/強い臭い/大きなシミ/破れ/ベタつき	売り切れ相場3件以上かつリペア可能で仕入れが十分安い場合のみ検討	ブランドタグ・素材タグ・ダメージ・サイズ・付属品の有無を確認しましたか？	CYCLAS ブラウス	CYCLAS ワンピース	シクラス コート	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、脇、襟袖、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
v5_expanded_additions	RULE_EXP_003	BRD_ATON	CAT_LADIES	TRUE	v4.1	https://jp.mercari.com/search?keyword=ATON%20%E3%82%AB%E3%83%83%E3%83%88%E3%82%BD%E3%83%BC	https://jp.mercari.com/search?keyword=ATON%20%E3%82%B7%E3%83%A3%E3%83%84	https://jp.mercari.com/search?keyword=%E3%82%A8%E3%82%A4%E3%83%88%E3%83%B3%20%E3%82%B3%E3%83%BC%E3%83%88	レディース服	ユニセックス	ATON	エイトン	カットソー／シャツ／ワンピース／コート	上質カットソー／シャツ／ワンピース／コート	通年	通年	2〜8週間	SUVINコットン/ウール/カシミヤ/リネン	SUVINコットン,ウール,カシミヤ,リネン	M/L/人気サイズ/大きいサイズ	M,L,人気サイズ,大きいサイズ	3000〜12000	3000	12000	10000〜40000	10000	40000	約-4200〜32250	-4200	32250	750	1200	宅急便60〜100	高	A	78	70	85	75	普通	70	高	中	25	中	25	75	61	条件付き買い	中	ユニセックス/上質素材/サイズ4以上/現行品	ユニセックス,上質素材,サイズ4以上,現行品	ブランド指名買い,通年需要,高単価	シミ/黄ばみ/脇汗/強い臭い/破れ/真贋不明	シミ,黄ばみ,脇汗,強い臭い,破れ,真贋不明	真贋注意,状態注意,相場確認必須	ATON カットソー,ATON シャツ,エイトン コート	3	正面/背面/ブランドタグ/素材タグ/サイズ表記/ダメージ箇所	ブランドタグ・素材タグ・状態を確認し、売り切れ相場3件以上を検索	ATONは上質カットソー／シャツ／ワンピース／コートを優先確認。仕入れ上限を超える場合は相場確認必須。	ブランド,服種類,サイズ,素材,状態,仕入れ値,ブランドタグ写真,素材タグ写真,全体写真	真贋不明で高仕入れ/強い臭い/大きなシミ/破れ/ベタつき	売り切れ相場3件以上かつリペア可能で仕入れが十分安い場合のみ検討	ブランドタグ・素材タグ・ダメージ・サイズ・付属品の有無を確認しましたか？	ATON カットソー	ATON シャツ	エイトン コート	全体正面・背面、ブランドタグ、素材タグ、サイズ表記、脇、襟袖、裾、裏地、ダメージ箇所を撮影	高仕入れ時は売り切れ相場3件以上確認。状態NGがある場合は原則見送り。
